Year,Series,Reference area,Sex,Value
2018,SL_EMP_FTLINJUR,Issyk-Kul,,2.535947
2019,SL_EMP_FTLINJUR,Issyk-Kul,,7.904722
2007,SL_EMP_FTLINJUR,Issyk-Kul,Female,5.253204
2009,SL_EMP_FTLINJUR,Issyk-Kul,Female,16.760713
2010,SL_EMP_FTLINJUR,Issyk-Kul,Female,5.038799
2007,SL_EMP_FTLINJUR,Issyk-Kul,Male,21.024967
2008,SL_EMP_FTLINJUR,Issyk-Kul,Male,5.302789
2009,SL_EMP_FTLINJUR,Issyk-Kul,Male,15.845349
2010,SL_EMP_FTLINJUR,Issyk-Kul,Male,10.858353
2011,SL_EMP_FTLINJUR,Issyk-Kul,Male,5.352746
2012,SL_EMP_FTLINJUR,Issyk-Kul,Male,11.813349
2013,SL_EMP_FTLINJUR,Issyk-Kul,Male,0.0
2014,SL_EMP_FTLINJUR,Issyk-Kul,Male,5.590652
2015,SL_EMP_FTLINJUR,Issyk-Kul,Male,16.993316
2016,SL_EMP_FTLINJUR,Issyk-Kul,Male,22.840176
2017,SL_EMP_FTLINJUR,Issyk-Kul,Male,17.059994
2018,SL_EMP_FTLINJUR,Issyk-Kul,Male,5.593467
2019,SL_EMP_FTLINJUR,Issyk-Kul,Male,17.360106
2007,SL_EMP_FTLINJUR,Naryn,,17.955739
2008,SL_EMP_FTLINJUR,Naryn,,4.448003
2009,SL_EMP_FTLINJUR,Naryn,,8.653139
2010,SL_EMP_FTLINJUR,Naryn,,8.600301
2011,SL_EMP_FTLINJUR,Naryn,,8.443094
2012,SL_EMP_FTLINJUR,Naryn,,8.285691
2013,SL_EMP_FTLINJUR,Naryn,,8.224022
2014,SL_EMP_FTLINJUR,Naryn,,16.345879
2015,SL_EMP_FTLINJUR,Naryn,,3.700278
2016,SL_EMP_FTLINJUR,Naryn,,19.647137
2017,SL_EMP_FTLINJUR,Naryn,,19.320685
2019,SL_EMP_FTLINJUR,Naryn,,7.69586
2008,SL_EMP_FTLINJUR,Naryn,Female,8.058667
2009,SL_EMP_FTLINJUR,Naryn,Female,7.907639
2010,SL_EMP_FTLINJUR,Naryn,Female,7.789375
2007,SL_EMP_FTLINJUR,Naryn,Male,38.71842
2009,SL_EMP_FTLINJUR,Naryn,Male,9.553836
2010,SL_EMP_FTLINJUR,Naryn,Male,9.599693
2011,SL_EMP_FTLINJUR,Naryn,Male,18.703825
2012,SL_EMP_FTLINJUR,Naryn,Male,18.637592
2013,SL_EMP_FTLINJUR,Naryn,Male,18.883958
2014,SL_EMP_FTLINJUR,Naryn,Male,37.703836
2015,SL_EMP_FTLINJUR,Naryn,Male,8.688097
2016,SL_EMP_FTLINJUR,Naryn,Male,45.195697
2017,SL_EMP_FTLINJUR,Naryn,Male,43.402778
2019,SL_EMP_FTLINJUR,Naryn,Male,17.711654
2007,SL_EMP_FTLINJUR,Osh,,0.0
2008,SL_EMP_FTLINJUR,Osh,,2.148043
2009,SL_EMP_FTLINJUR,Osh,,4.345181
2011,SL_EMP_FTLINJUR,Osh,,7.250755
2013,SL_EMP_FTLINJUR,Osh,,2.649638
2015,SL_EMP_FTLINJUR,Osh,,2.590741
2017,SL_EMP_FTLINJUR,Osh,,6.776751
2007,SL_EMP_FTLINJUR,Osh,Male,0.0
2008,SL_EMP_FTLINJUR,Osh,Male,4.880906
2009,SL_EMP_FTLINJUR,Osh,Male,11.227125
2011,SL_EMP_FTLINJUR,Osh,Male,17.884822
2013,SL_EMP_FTLINJUR,Osh,Male,6.378365
2015,SL_EMP_FTLINJUR,Osh,Male,6.510417
2017,SL_EMP_FTLINJUR,Osh,Male,16.669445
2007,SL_EMP_FTLINJUR,Talas,,5.755727
2008,SL_EMP_FTLINJUR,Talas,,5.701579
2009,SL_EMP_FTLINJUR,Talas,,5.350455
2010,SL_EMP_FTLINJUR,Talas,,5.483659
2011,SL_EMP_FTLINJUR,Talas,,10.582571
2012,SL_EMP_FTLINJUR,Talas,,5.259006
2013,SL_EMP_FTLINJUR,Talas,,30.616931
2014,SL_EMP_FTLINJUR,Talas,,10.404745
2015,SL_EMP_FTLINJUR,Talas,,10.041169
2017,SL_EMP_FTLINJUR,Talas,,5.102301
2018,SL_EMP_FTLINJUR,Talas,,4.923198
2019,SL_EMP_FTLINJUR,Talas,,4.641233
2007,SL_EMP_FTLINJUR,Talas,Male,13.294337
2008,SL_EMP_FTLINJUR,Talas,Male,13.486177
